1,age,"経験","数字","年齢","順番",3,1
2,reason,"心","理由","価格","決定",2,1
3,lose,"得る","上がる","下がる","失う",4,1
4,allow,"許可する","決定する","弓をいる","虹が出る",1,1
5,research,"書物","投資","研究","検索",3,1
6,issue,"消費","問題","興味","生産",2,1
7,amount,"山脈","量","説明","人口",2,2
8,avoid,"避ける","起こる","成長する","引き寄せる",1,2
9,previous,"後の","重要な","見事な","前の",4,2
10,statement,"ことわざ","発表　","声明","演説",3,2
11,recently,"突然に","すぐに","最近は","かなり前に",3,2
12,prevent,"隠す","妨げる","否定する","延期する",2,2
13,failure,"失敗","落下","引退","消滅",1,3
14,investigation,"市場","投資","利益","調査",4,3
15,define,"説明する","定義する","明るくする","準備する",2,3
16,vehicle,"昆虫","薬品","乗り物","循環",3,3
17,ignore,"否定する","重視する","保留する","無視する",4,3
18,candidate,"ろうそく","候補者","推薦者","お菓子",2,3
19,meanwhile,"その間に","意味的に","時間的に","たびたび",1,4
20,acquire,"計測する","議論する","獲得する","処理する",3,4
21,alternative,"永久の","後の","代わりの","両方の",3,4
22,withdraw,"描く","引き出す","預ける","評価する",2,4
23,construction,"遺産","事業","彫刻","建設",4,4
24,substantial,"かなりの","標準的な","二次的な","少ない",1,4
25,prospect,"尊敬","見込み","賢人","約束",2,5
26,chill,"冷たい","からい","すっぱい","暑い",1,5
27,vein,"骨髄","動脈","静脈","弁膜",3,5
28,bother,"両方","兄弟","別人","面倒",4,5
29,condemn,"賞賛する","非難する","展示する","デモする",2,5
30,desperate,"分割された","結合された","有望な","絶望的な",4,5
31,trifle,"少量","多量","試供品","小銃",1,6
32,menace,"からかう","驚かす","おどす","修理する",3,6
33,vigor,"勝利","活力","巨大さ","訪問者",2,6
34,agony,"老化","自己","懸賞","苦痛",4,6
35,surrender,"包囲","降伏","制圧","陣地",2,6
36,prominent,"すぐれた","劣った","専門の","すべての",1,6
37,impetus,"興奮","皇帝","皇居","刺激",4,7
38,insolence,"孤立","独立","傲慢","謙虚",3,7
39,stampede,"暴走","切手","投函","標準",1,7
40,flaunt,"強く否定する","見せびらかす","浮いている","嘘をつく",2,7
41,demolish,"悪化する","行進する","デモする","破壊する",4,7
42,vindictive,"善意の","悪意の","探偵の","建設的な",2,7
